,url,title,rating,num_ratings,num_reviews,num_photos,num_ingredients
0,https://www.allrecipes.com/recipe/16311/simple-beef-stroganoff/,Simple Beef Stroganoff,4.4,1,812,116,6
1,https://www.allrecipes.com/recipe/222352/jamies-sweet-and-easy-corn-on-the-cob/,Jamie's Sweet and Easy Corn on the Cob,4.9,534,403,27,3
2,https://www.allrecipes.com/recipe/34450/italian-seasoning-i/,Italian Seasoning,4.8,83,49,8,6
3,https://www.allrecipes.com/recipe/241074/easy-garlic-kale/,Easy Garlic Kale,4.4,104,79,26,3
4,https://www.allrecipes.com/recipe/127500/japanese-style-deep-fried-shrimp/,Japanese-Style Deep-Fried Shrimp,4.8,351,269,59,9
5,https://www.allrecipes.com/recipe/11839/arrabbiata-sauce/,Arrabbiata Sauce,4.5,480,333,22,13
6,https://www.allrecipes.com/recipe/21560/skillet-ham-cabbage-and-potatoes/,"Skillet Ham, Cabbage, and Potatoes",4.6,437,355,30,8
7,https://www.allrecipes.com/recipe/85839/out-of-this-world-turkey-brine/,Out of This World Turkey Brine,4.9,853,658,36,6
8,https://www.allrecipes.com/recipe/230857/easy-tuna-patties/,Easy Tuna Patties,4.6,628,494,146,8
9,https://www.allrecipes.com/recipe/269500/creamy-garlic-pasta/,Creamy Garlic Pasta,4.8,309,271,33,10
10,https://www.allrecipes.com/recipe/69471/baby-spinach-omelet/,Baby Spinach Omelet,4.5,378,280,64,6
11,https://www.allrecipes.com/recipe/282204/smoked-whole-turkey-breast/,Smoked Whole Turkey Breast,,0,0,2,10
12,https://www.allrecipes.com/recipe/21306/fish-in-foil/,Fish in Foil,4.4,430,320,31,7
13,https://www.allrecipes.com/recipe/8541/carols-arroz-con-pollo/,Arroz Con Pollo (Chicken and Rice),4.4,373,277,24,14
14,https://www.allrecipes.com/recipe/8468509/one-pot-tortellini-bake/,One Pot Tortellini Bake,4.7,11,6,2,11
15,https://www.allrecipes.com/recipe/216108/slow-cooker-turkey-legs/,Slow Cooker Turkey Legs,4.6,94,83,13,4
16,https://www.allrecipes.com/recipe/132358/easy-garlic-lemon-scallops/,Easy Garlic-Lemon Scallops,4.6,663,498,109,6
17,https://www.allrecipes.com/recipe/212670/game-hen-stuffed-with-wild-rice-and-mushrooms/,Game Hen Stuffed with Wild Rice and Mushrooms,4.4,36,30,7,10
18,https://www.allrecipes.com/recipe/82768/lauras-quick-slow-cooker-turkey-chili/,Laura's Quick Slow Cooker Turkey Chili,4.7,1,1151,104,14
19,https://www.allrecipes.com/recipe/219431/parmesan-crusted-chicken/,Parmesan Crusted Chicken,4.7,346,285,43,4
20,https://www.allrecipes.com/recipe/14113/tofu-turkey-i/,Tofu Turkey I,4.3,68,58,9,19
